I.KEY.Grant.Application.ID,I.FAC.Faculty.No..1,I.FAC.Faculty.No..10,I.FAC.Faculty.No..11,I.FAC.Faculty.No..12,I.FAC.Faculty.No..13,I.FAC.Faculty.No..14,I.FAC.Faculty.No..15,I.FAC.Faculty.No..2,I.FAC.Faculty.No..3,I.FAC.Faculty.No..4,I.FAC.Faculty.No..5,I.FAC.Faculty.No..6,I.FAC.Faculty.No..7,I.FAC.Faculty.No..8,I.FAC.Faculty.No..9,I.FAC.Grant.Status,I.NUM.A..1,I.NUM.A..10,I.NUM.A..11,I.NUM.A..12,I.NUM.A..13,I.NUM.A..14,I.NUM.A..15,I.NUM.A..2,I.NUM.A..3,I.NUM.A..4,I.NUM.A..5,I.NUM.A..6,I.NUM.A..7,I.NUM.A..8,I.NUM.A..9,I.NUM.A.1,I.NUM.A.10,I.NUM.A.11,I.NUM.A.12,I.NUM.A.13,I.NUM.A.14,I.NUM.A.15,I.NUM.A.2,I.NUM.A.3,I.NUM.A.4,I.NUM.A.5,I.NUM.A.6,I.NUM.A.7,I.NUM.A.8,I.NUM.A.9,I.NUM.B.1,I.NUM.B.10,I.NUM.B.11,I.NUM.B.12,I.NUM.B.13,I.NUM.B.14,I.NUM.B.15,I.NUM.B.2,I.NUM.B.3,I.NUM.B.4,I.NUM.B.5,I.NUM.B.6,I.NUM.B.7,I.NUM.B.8,I.NUM.B.9,I.NUM.C.1,I.NUM.C.10,I.NUM.C.11,I.NUM.C.12,I.NUM.C.13,I.NUM.C.14,I.NUM.C.15,I.NUM.C.2,I.NUM.C.3,I.NUM.C.4,I.NUM.C.5,I.NUM.C.6,I.NUM.C.7,I.NUM.C.8,I.NUM.C.9,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.1,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.10,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.11,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.12,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.13,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.14,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.15,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.2,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.3,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.4,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.5,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.6,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.7,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.8,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.9,I.NUM.Number.of.Successful.Grant.1,I.NUM.Number.of.Successful.Grant.10,I.NUM.Number.of.Successful.Grant.11,I.NUM.Number.of.Successful.Grant.12,I.NUM.Number.of.Successful.Grant.13,I.NUM.Number.of.Successful.Grant.14,I.NUM.Number.of.Successful.Grant.15,I.NUM.Number.of.Successful.Grant.2,I.NUM.Number.of.Successful.Grant.3,I.NUM.Number.of.Successful.Grant.4,I.NUM.Number.of.Successful.Grant.5,I.NUM.Number.of.Successful.Grant.6,I.NUM.Number.of.Successful.Grant.7,I.NUM.Number.of.Successful.Grant.8,I.NUM.Number.of.Successful.Grant.9,I.NUM.Number.of.Unsuccessful.Grant.1,I.NUM.Number.of.Unsuccessful.Grant.10,I.NUM.Number.of.Unsuccessful.Grant.11,I.NUM.Number.of.Unsuccessful.Grant.12,I.NUM.Number.of.Unsuccessful.Grant.13,I.NUM.Number.of.Unsuccessful.Grant.14,I.NUM.Number.of.Unsuccessful.Grant.15,I.NUM.Number.of.Unsuccessful.Grant.2,I.NUM.Number.of.Unsuccessful.Grant.3,I.NUM.Number.of.Unsuccessful.Grant.4,I.NUM.Number.of.Unsuccessful.Grant.5,I.NUM.Number.of.Unsuccessful.Grant.6,I.NUM.Number.of.Unsuccessful.Grant.7,I.NUM.Number.of.Unsuccessful.Grant.8,I.NUM.Number.of.Unsuccessful.Grant.9,I.NUM.Start.date,I.NUM.Year.of.Birth.1,I.NUM.Year.of.Birth.10,I.NUM.Year.of.Birth.11,I.NUM.Year.of.Birth.12,I.NUM.Year.of.Birth.13,I.NUM.Year.of.Birth.14,I.NUM.Year.of.Birth.15,I.NUM.Year.of.Birth.2,I.NUM.Year.of.Birth.3,I.NUM.Year.of.Birth.4,I.NUM.Year.of.Birth.5,I.NUM.Year.of.Birth.6,I.NUM.Year.of.Birth.7,I.NUM.Year.of.Birth.8,I.NUM.Year.of.Birth.9,S.FAC.Contract.Value.Band...see.note.A,S.FAC.Country.of.Birth.1,S.FAC.Country.of.Birth.10,S.FAC.Country.of.Birth.11,S.FAC.Country.of.Birth.12,S.FAC.Country.of.Birth.13,S.FAC.Country.of.Birth.14,S.FAC.Country.of.Birth.15,S.FAC.Country.of.Birth.2,S.FAC.Country.of.Birth.3,S.FAC.Country.of.Birth.4,S.FAC.Country.of.Birth.5,S.FAC.Country.of.Birth.6,S.FAC.Country.of.Birth.7,S.FAC.Country.of.Birth.8,S.FAC.Country.of.Birth.9,S.FAC.Grant.Category.Code,S.FAC.Home.Language.1,S.FAC.Home.Language.10,S.FAC.Home.Language.11,S.FAC.Home.Language.12,S.FAC.Home.Language.13,S.FAC.Home.Language.14,S.FAC.Home.Language.15,S.FAC.Home.Language.2,S.FAC.Home.Language.3,S.FAC.Home.Language.4,S.FAC.Home.Language.5,S.FAC.Home.Language.6,S.FAC.Home.Language.7,S.FAC.Home.Language.8,S.FAC.Home.Language.9,S.FAC.Role.1,S.FAC.Role.10,S.FAC.Role.11,S.FAC.Role.12,S.FAC.Role.13,S.FAC.Role.14,S.FAC.Role.15,S.FAC.Role.2,S.FAC.Role.3,S.FAC.Role.4,S.FAC.Role.5,S.FAC.Role.6,S.FAC.Role.7,S.FAC.Role.8,S.FAC.Role.9,S.FAC.With.PHD.1,S.FAC.With.PHD.10,S.FAC.With.PHD.11,S.FAC.With.PHD.12,S.FAC.With.PHD.13,S.FAC.With.PHD.14,S.FAC.With.PHD.15,S.FAC.With.PHD.2,S.FAC.With.PHD.3,S.FAC.With.PHD.4,S.FAC.With.PHD.5,S.FAC.With.PHD.6,S.FAC.With.PHD.7,S.FAC.With.PHD.8,S.FAC.With.PHD.9
3410,25,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,B,Australia,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3411,25,,,,,,,25,25,,,,,,,0,5,,,,,,,0,3,,,,,,,7,,,,,,,0,12,,,,,,,4,,,,,,,0,9,,,,,,,1,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,,1,,,,,,,3,2,,,,,,,,1960,,,,,,,1975,1965,,,,,,,A,Great Britain,,,,,,,Australia,Great Britain,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3412,25,,,,,,,,,,,,,,,0,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1965,,,,,,,,,,,,,,,B,Great Britain,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3413,31,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,B,North America,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3414,25,,,,,,,25,,,,,,,,0,1,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,3,,,,,,,0,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,3,,,,,,,2,,,,,,,,,1975,,,,,,,1940,,,,,,,,B,Middle East and Africa,,,,,,,Australia,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3415,25,,,,,,,,,,,,,,,0,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1965,,,,,,,,,,,,,,,B,Great Britain,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3416,25,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,B,Australia,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3417,25,,,,,,,25,,,,,,,,0,1,,,,,,,0,,,,,,,,4,,,,,,,0,,,,,,,,2,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,,,,,,,,2,,,,,,,1,,,,,,,,,1970,,,,,,,1970,,,,,,,,A,Australia,,,,,,,Western Europe,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3418,31,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1945,,,,,,,,,,,,,,,B,Australia,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3419,31,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1965,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3420,25,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,B,North America,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3421,25,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,B,North America,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3422,25,,,,,,,25,25,,,,,,,0,5,,,,,,,0,0,,,,,,,21,,,,,,,0,1,,,,,,,12,,,,,,,0,0,,,,,,,12,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,,,,,,,2,,,,,,,0,1,,,,,,,,1955,,,,,,,1960,1960,,,,,,,A,Australia,,,,,,,Australia,Great Britain,,,,,,,20A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,,,,,,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
3423,25,,,,,,,25,25,,,,,,,0,17,,,,,,,0,1,,,,,,,13,,,,,,,0,0,,,,,,,5,,,,,,,0,0,,,,,,,7,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,,,,0,,,,,,,0,1,,,,,,,,1960,,,,,,,1975,1965,,,,,,,A,Australia,,,,,,,,Australia,,,,,,,20A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,,,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3424,25,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1975,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3425,25,,,,,,,25,,,,,,,,0,17,,,,,,,0,,,,,,,,13,,,,,,,0,,,,,,,,5,,,,,,,0,,,,,,,,7,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,0,,,,,,,1,,,,,,,,,1960,,,,,,,1945,,,,,,,,A,Australia,,,,,,,Australia,,,,,,,,20A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3426,25,,,,,,,25,25,,,,,,,1,1,,,,,,,0,1,,,,,,,0,,,,,,,0,0,,,,,,,0,,,,,,,0,0,,,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,,,,0,,,,,,,1,1,,,,,,,,1960,,,,,,,1960,1965,,,,,,,A,Australia,,,,,,,Great Britain,Australia,,,,,,,20A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,,,,,,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
3427,46,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3428,7,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1945,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,30C,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3429,25,,,,,,,25,,,,,,,,1,6,,,,,,,0,,,,,,,,3,,,,,,,0,,,,,,,,6,,,,,,,0,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,1955,,,,,,,1970,,,,,,,,B,Australia,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3430,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3431,25,,,,,,,,25,,,,,,,0,17,,,,,,,0,2,,,,,,,13,,,,,,,0,0,,,,,,,5,,,,,,,0,1,,,,,,,7,,,,,,,0,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,1,,,,,,,0,,,,,,,0,2,,,,,,,,1960,,,,,,,1950,1955,,,,,,,A,Australia,,,,,,,,Australia,,,,,,,20A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,,,,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3432,31,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,30C,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,STUD_CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3433,1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,30C,,,,,,,,,,,,,,,,PRINCIPAL_SUPERVISOR,,,,,,,STUD_CHIEF_INVESTIGATOR,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3434,25,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1940,,,,,,,,,,,,,,,C,Australia,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3435,25,,,,,,,25,,,,,,,,0,0,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,1,,,,,,,,,1970,,,,,,,1955,,,,,,,,D,,,,,,,,Great Britain,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3436,25,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,B,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3437,31,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,30C,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,STUD_CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3438,,,,,,,,31,,,,,,,,1,0,,,,,,,0,,,,,,,,2,,,,,,,0,,,,,,,,1,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,0,,,,,,,0,,,,,,,,,1950,,,,,,,1950,,,,,,,,A,,,,,,,,Australia,,,,,,,,30C,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,STUD_CHIEF_INVESTIGATOR,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3439,31,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,,,,A,Great Britain,,,,,,,,,,,,,,,30C,English,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,STUD_CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3440,25,,,,,,,25,,,,,,,,1,17,,,,,,,0,,,,,,,,13,,,,,,,0,,,,,,,,5,,,,,,,0,,,,,,,,7,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,0,,,,,,,2,,,,,,,,,1960,,,,,,,1955,,,,,,,,A,Australia,,,,,,,Australia,,,,,,,,20A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3441,25,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,B,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,EXTERNAL_ADVISOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3442,31,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,30C,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,STUD_CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3443,19,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3444,,,,,,,,31,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1955,,,,,,,,A,,,,,,,,Australia,,,,,,,,30C,,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,STUDRES,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3445,31,,,,,,,,34,,,,,,,1,0,,,,,,,,7,,,,,,,5,,,,,,,,4,,,,,,,6,,,,,,,,9,,,,,,,5,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,0,,,,,,,,2,,,,,,,,1950,,,,,,,,1950,,,,,,,A,Australia,,,,,,,,Australia,,,,,,,30C,,,,,,,,,English,,,,,,,CHIEF_INVESTIGATOR,,,,,,,EXT_CHIEF_INVESTIGATOR,PRINCIPAL_SUPERVISOR,STUD_CHIEF_INVESTIGATOR,,,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3446,25,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1940,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3447,31,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,30C,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,STUD_CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3448,25,,,,,,,25,25,,25,25,25,25,,0,1,,,,,,,0,4,0,4,0,7,1,,3,,,,,,,0,6,0,1,0,0,2,,7,,,,,,,0,5,0,6,0,3,10,,5,,,,,,,0,13,0,3,0,15,8,,,,,,,,,,,,,,,,,1,,,,,,,0,1,0,0,0,0,0,,2,,,,,,,0,0,0,0,1,2,4,,,1945,,,,,,,1970,1970,1965,1965,1950,1955,1950,,,Australia,,,,,,,Australia,Australia,,Australia,Asia Pacific,,Asia Pacific,,10A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False
